,cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
1497,1498,Majory Chipili,261000000000.0,majory.chipili@email.com,Female,08/08/1991,Zambian,Solwezi,North-Western,Diploma,Solwezi Business College,2010,Human Resources,"HR Administration,Recruitment","English,Kaonde",Intermediate,7,HR Assistant,Employed,Full-time,North-Western,8000,11500,2 weeks,"Recruitment,Employee Records,Payroll Support","Organization,Confidentiality,Communication","[{""title"":""HR Assistant""","company:""First Quantum Minerals""","location:""Solwezi""","start_date:""2014-09""","end_date:""Present""","description:""Support HR operations""","achievements:[""Improved record keeping""",Enhanced recruitment process]},"{""title"":""Administrative Clerk""","company:""Various Companies""","location:""North-Western""","start_date:""2010-05""","end_date:""2014-08""","description:""Worked in administration""","achievements:[""Improved office skills""",Enhanced customer service]}],"[{""name"":""HR System Implementation""","description:""Human resources digitization""","technologies:""HR Software","Record Management""","duration:""5 months""}]","[{""name"":""Leonard Chishala""","relationship:""HR Manager""","phone:""+260977567910""","email:""leonard.chishala@fqml.co.zm""}]",7,
1498,1499,Leonard Mulubwa,261000000000.0,leonard.mulubwa@email.com,Male,21/01/1987,Zambian,Kalulushi,Copperbelt,Certificate,Kalulushi Technical School,2005,Boiler Making,"Boiler Operation,Maintenance","English,Bemba",Basic,12,Boiler Maker,Employed,Full-time,Copperbelt,9500,13500,1 month,"Boiler Making,Repair,Maintenance","Technical Skills,Safety Focus,Teamwork","[{""title"":""Boiler Maker""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2012-07""","end_date:""Present""","description:""Fabricate and repair boilers""","achievements:[""Improved boiler efficiency""",Enhanced safety standards]},"{""title"":""Apprentice Boiler Maker""","company:""Various Companies""","location:""Copperbelt""","start_date:""2005-03""","end_date:""2012-06""","description:""Learned boiler making""","achievements:[""Mastered fabrication techniques""",Improved repair skills]}],"[{""name"":""Boiler System Upgrade""","description:""Industrial boiler improvement""","technologies:""Boiler Systems","Fabrication""","duration:""6 months""}]","[{""name"":""Rodgers Sililo""","relationship:""Workshop Supervisor""","phone:""+260955678911""","email:""rodgers.sililo@mcm.co.zm""}]",7,
1499,1500,Rodgers Namwinga,261000000000.0,rodgers.namwinga@email.com,Male,14/11/1992,Zambian,Mazabuka,Southern,Bachelor's,University of Zambia,2013,Agricultural Economics,"Agribusiness,Market Analysis","English,Tonga",Fluent,4,Agribusiness Officer,Employed,Full-time,Southern,9000,13000,3 weeks,"Market Analysis,Value Chains,Business Planning","Analytical Thinking,Communication,Entrepreneurship","[{""title"":""Agribusiness Officer""","company:""Zambia National Farmers Union""","location:""Mazabuka""","start_date:""2016-08""","end_date:""Present""","description:""Support agribusiness development""","achievements:[""Improved market access for farmers""",Enhanced business planning]},"{""title"":""Field Officer""","company:""Ministry of Agriculture""","location:""Monze""","start_date:""2013-09""","end_date:""2016-07""","description:""Supported agricultural programs""","achievements:[""Improved farmer training""",Enhanced market linkages]}],"[{""name"":""Agribusiness Development""","description:""Farmer enterprise support""","technologies:""Business Planning","Market Analysis""","duration:""8 months""}]","[{""name"":""Morgan Nachula""","relationship:""Program Manager""","phone:""+260966789020""","email:""morgan.nachula@znfu.org.zm""}]",7,
1500,1501,Morgan Nayame,261000000000.0,morgan.nayame@email.com,Male,02/04/1989,Zambian,Kasama,Northern,Certificate,Kasama Technical School,2007,Motor Mechanics,"Automotive Repair,Diagnostics","English,Bemba",Basic,10,Motor Mechanic,Self-Employed,Contract,Northern,7000,10500,Immediate,"Engine Repair,Transmission,Electrical Systems","Technical Skills,Problem-solving,Reliability","[{""title"":""Motor Mechanic""","company:""Morgan's Auto Repair""","location:""Kasama""","start_date:""2012-06""","end_date:""Present""","description:""Run own automotive repair business""","achievements:[""Built strong reputation""",Maintained customer loyalty]},"{""title"":""Mechanic""","company:""Various Garages""","location:""Northern Province""","start_date:""2007-02""","end_date:""2012-05""","description:""Worked as mechanic""","achievements:[""Mastered diagnostic techniques""",Improved repair efficiency]}],"[{""name"":""Vehicle Maintenance Services""","description:""Automotive repair and maintenance""","technologies:""Diagnostic Tools","Repair Equipment""","duration:""Ongoing""}]","[{""name"":""Bertha Nasilele""","relationship:""Regular Client""","phone:""+260977890131""","email:""bertha.nasilele@email.com""}]",6,
1501,1502,Bertha Nachilima,261000000000.0,bertha.nachilima@email.com,Female,25/07/1994,Zambian,Mongu,Western,Diploma,Mongu Nursing School,2012,Nursing,"Nursing License,Midwifery","English,Lozi",Intermediate,5,Nurse,Employed,Full-time,Western,7500,10500,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Mongu General Hospital""","location:""Mongu""","start_date:""2015-09""","end_date:""Present""","description:""Provide nursing care""","achievements:[""Improved patient outcomes""",Enhanced health education]},"{""title"":""Nursing Intern""","company:""Various Health Facilities""","location:""Western Province""","start_date:""2012-05""","end_date:""2015-08""","description:""Completed nursing training""","achievements:[""Improved clinical skills""",Enhanced patient care]}],"[{""name"":""Community Health Program""","description:""Public health initiative""","technologies:""Health Education","Patient Care""","duration:""Ongoing""}]","[{""name"":""Teddy Nkhoma""","relationship:""Nursing Officer""","phone:""+260955901242""","email:""teddy.nkhoma@mgh.gov.zm""}]",6,
1502,1503,Teddy Ngambi,261000000000.0,teddy.ngambi@email.com,Male,11/12/1991,Zambian,Kalumbila,North-Western,Bachelor's,North-Western University,2012,Geology,"Mineral Exploration,Mapping","English,Kaonde",Fluent,5,Geologist,Employed,Full-time,North-Western,14000,19000,1 month,"Geological Mapping,Exploration,Data Analysis","Analytical Thinking,Field Work,Report Writing","[{""title"":""Geologist""","company:""First Quantum Minerals""","location:""Kalumbila""","start_date:""2015-10""","end_date:""Present""","description:""Conduct geological exploration""","achievements:[""Identified new mineral targets""",Improved mapping accuracy]},"{""title"":""Field Geologist""","company:""Various Exploration Companies""","location:""North-Western""","start_date:""2012-08""","end_date:""2015-09""","description:""Supported exploration activities""","achievements:[""Improved field techniques""",Enhanced data collection]}],"[{""name"":""Mineral Exploration Project""","description:""Resource identification program""","technologies:""Geological Mapping","Sampling""","duration:""12 months""}]","[{""name"":""Shadreck Mphande""","relationship:""Chief Geologist""","phone:""+260966012353""","email:""shadreck.mphande@fqml.co.zm""}]",8,
1503,1504,Shadreck Makungu,261000000000.0,shadreck.makungu@email.com,Male,06/09/1988,Zambian,Choma,Southern,Certificate,Choma Trades School,2006,Welding and Fabrication,"Welding,Fabrication","English,Tonga",Basic,11,Welder,Self-Employed,Contract,Southern,7500,11000,Immediate,"Welding,Fabrication,Metal Work","Technical Skills,Precision,Reliability","[{""title"":""Welder/Fabricator""","company:""Makungu Metal Works""","location:""Choma""","start_date:""2011-04""","end_date:""Present""","description:""Run own welding and fabrication business""","achievements:[""Known for quality work""",Supplied various industries]},"{""title"":""Welder""","company:""Various Companies""","location:""Southern Province""","start_date:""2006-02""","end_date:""2011-03""","description:""Worked as welder""","achievements:[""Mastered multiple techniques""",Improved fabrication skills]}],"[{""name"":""Metal Fabrication Services""","description:""Custom metal work""","technologies:""Welding Equipment","Fabrication""","duration:""Ongoing""}]","[{""name"":""Jacob Mutinta""","relationship:""Regular Client""","phone:""+260977123465""","email:""jacob.mutinta@email.com""}]",6,
1504,1505,Mary Phiri,261000000000.0,mary.phiri@email.com,Female,15/05/1990,Zambian,Lusaka,Lusaka,Bachelor's,University of Zambia,2013,Computer Science,"AWS Certified, PMP","English,Bemba",Fluent,8,Senior Software Engineer,Employed,Full-time,Lusaka,18000,25000,2 weeks,"Python, Java, React, AWS, Docker, Kubernetes","Leadership, Problem-solving, Communication","[{""title"":""Senior Software Engineer""","company:""Zambia National Commercial Bank""","location:""Lusaka""","start_date:""2018-03""","end_date:""Present""","description:""Lead development team for digital banking solutions""","achievements:[""Reduced system downtime by 60%""",Mentored 5 junior developers]},"{""title"":""Software Developer""","company:""Liquid Telecom""","location:""Lusaka""","start_date:""2013-08""","end_date:""2018-02""","description:""Developed mobile banking applications using React Native""","achievements:[""Improved app performance by 40%""",Implemented CI/CD pipeline]}],"[{""name"":""Mobile Banking App""","description:""Cross-platform banking application""","technologies:""React Native"," Node.js""","duration:""8 months""}]","[{""name"":""John Banda""","relationship:""Former Manager""","phone:""+260977654321""","email:""john.banda@zncb.co.zm""}]",9,
1505,1506,John Mulenga,261000000000.0,john.mulenga@email.com,Male,22/11/1988,Zambian,Ndola,Copperbelt,Master's,Copperbelt University,2011,Civil Engineering,"PE License, PMP","English,Bemba",Fluent,12,Civil Engineer,Employed,Full-time,Copperbelt,16000,22000,1 month,"AutoCAD, Revit, Project Management, Structural Analysis","Team Management, Client Relations, Negotiation","[{""title"":""Senior Civil Engineer""","company:""China Henan International""","location:""Ndola""","start_date:""2016-07""","end_date:""Present""","description:""Manage construction projects for infrastructure development""","achievements:[""Completed $5M road project 2 months ahead of schedule""",Reduced material costs by 15%]},"{""title"":""Site Engineer""","company:""Avic International""","location:""Kitwe""","start_date:""2011-09""","end_date:""2016-06""","description:""Supervised construction sites and managed subcontractors""","achievements:[""Improved site safety compliance by 40%""",Trained 10 site supervisors]}],"[{""name"":""Ndola-Lusaka Highway""","description:""Road construction project""","technologies:""AutoCAD"," Primavera""","duration:""24 months""}]","[{""name"":""Joseph Zulu""","relationship:""Project Director""","phone:""+260955789123""","email:""joseph.zulu@chni.co.zm""}]",8,
1506,1507,Joseph Tembo,261000000000.0,joseph.tembo@email.com,Male,08/03/1992,Zambian,Kitwe,Copperbelt,Diploma,Technical and Vocational Teachers' College,2014,Electrical Engineering,"Electrician License, OSHA","English,Bemba,Nyanja",Intermediate,7,Electrical Technician,Employed,Full-time,Copperbelt,8000,12000,2 weeks,"Electrical Systems, PLC Programming, Maintenance, Safety Protocols","Attention to Detail, Problem-solving, Teamwork","[{""title"":""Electrical Technician""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2017-01""","end_date:""Present""","description:""Maintain and repair electrical systems in mining operations""","achievements:[""Reduced equipment downtime by 25%""",Implemented preventive maintenance program]},"{""title"":""Apprentice Electrician""","company:""ZESCO""","location:""Ndola""","start_date:""2014-06""","end_date:""2016-12""","description:""Assisted senior electricians in installation and maintenance""","achievements:[""Completed apprenticeship with distinction""",Improved wiring efficiency by 15%]}],"[{""name"":""Mine Electrical Upgrade""","description:""Electrical system modernization""","technologies:""PLC"," SCADA""","duration:""6 months""}]","[{""name"":""Agness Musonda""","relationship:""Supervisor""","phone:""+260966456789""","email:""agness.musonda@mcm.co.zm""}]",7,
1508,1509,Peter Sakala,261000000000.0,peter.sakala@email.com,Male,14/12/1985,Zambian,Chipata,Eastern,Certificate,Evelyn Hone College,2006,Automotive Mechanics,"ASE Certified, Driver's License","English,Nyanja,Chewa",Basic,15,Automotive Technician,Self-Employed,Contract,Chipata,6000,9000,Immediate,"Engine Repair, Diagnostics, Brake Systems, Transmission","Customer Service, Time Management, Technical Skills","[{""title"":""Owner/Technician""","company:""Peter's Auto Repair""","location:""Chipata""","start_date:""2012-05""","end_date:""Present""","description:""Run own automotive repair shop with 2 employees""","achievements:[""Grew business revenue by 200% over 5 years""",Maintained 95% customer satisfaction rate]},"{""title"":""Mechanic""","company:""Toyota Zambia""","location:""Lusaka""","start_date:""2006-08""","end_date:""2012-04""","description:""Performed vehicle maintenance and repairs""","achievements:[""Reduced repair turnaround time by 30%""",Trained 3 apprentice mechanics]}],"[{""name"":""Fleet Maintenance Contract""","description:""Vehicle maintenance for local business""","technologies:""Diagnostic Tools"," Repair Manuals""","duration:""Ongoing""}]","[{""name"":""Grace Daka""","relationship:""Business Partner""","phone:""+260955678901""","email:""grace.daka@email.com""}]",5,
1509,1510,Grace Bwalya,261000000000.0,grace.bwalya@email.com,Female,18/09/1993,Zambian,Kabwe,Central,Bachelor's,Zambian Open University,2015,Human Resources,"SHRM Certified, HR Management","English,Bemba",Fluent,6,HR Officer,Employed,Full-time,Kabwe,9000,14000,3 weeks,"Recruitment, Employee Relations, Payroll, Labor Laws","Conflict Resolution, Organization, Communication","[{""title"":""HR Officer""","company:""Zambia Sugar""","location:""Mazabuka""","start_date:""2018-04""","end_date:""Present""","description:""Manage recruitment", employee relations," and compliance""","achievements:[""Reduced employee turnover by 20%""",Streamlined hiring process saving 15% time]},"{""title"":""HR Assistant""","company:""Shoprite Zambia""","location:""Lusaka""","start_date:""2015-07""","end_date:""2018-03""","description:""Assisted with recruitment and administrative tasks""","achievements:[""Processed 200+ job applications monthly""",Improved employee file organization]}],"[{""name"":""Employee Wellness Program""","description:""Workplace health initiative""","technologies:""HR Software"," Wellness Tools""","duration:""6 months""}]","[{""name"":""Charles Mbewe""","relationship:""HR Manager""","phone:""+260966789012""",
1510,1511,Charles Mumba,261000000000.0,charles.mumba@email.com,Male,25/04/1991,Zambian,Solwezi,North-Western,Bachelor's,Copperbelt University,2013,Geology,"GIS Certified, First Aid","English,Kaonde,Lunda",Intermediate,8,Geologist,Employed,Full-time,North-Western,13000,18000,1 month,"Geological Mapping, GIS, Data Analysis, Field Work","Analytical Thinking, Report Writing, Team Leadership","[{""title"":""Senior Geologist""","company:""First Quantum Minerals""","location:""Solwezi""","start_date:""2017-08""","end_date:""Present""","description:""Conduct geological surveys and mineral exploration""","achievements:[""Identified new mineral deposit worth $10M""",Improved mapping accuracy by 25%]},"{""title"":""Junior Geologist""","company:""Barrick Gold""","location:""Kalumbila""","start_date:""2013-09""","end_date:""2017-07""","description:""Assisted with field surveys and data collection""","achievements:[""Published 2 research papers""",Developed improved sampling technique]}],"[{""name"":""Kalumbila Exploration""","description:""Mineral exploration project""","technologies:""GIS"," Remote Sensing""","duration:""18 months""}]","[{""name"":""Elizabeth Mwape""","relationship:""Chief Geologist""","phone:""+260977890123""","email:""elizabeth.mwape@fqml.co.zm""}]",9,
1511,1512,Elizabeth Kunda,261000000000.0,elizabeth.kunda@email.com,Female,11/08/1989,Zambian,Mongu,Western,Master's,University of Zambia,2012,Education,"Teaching License, TEFL","English,Lozi,Silozzi",Fluent,9,High School Teacher,Employed,Full-time,Mongu,8000,11000,2 months,"Curriculum Development, Classroom Management, Educational Technology","Patience, Creativity, Mentoring","[{""title"":""Senior Teacher""","company:""Mongu Secondary School""","location:""Mongu""","start_date:""2015-01""","end_date:""Present""","description:""Teach mathematics and science to secondary students""","achievements:[""Improved student pass rate from 65% to 85%""",Led school to win national science fair]},"{""title"":""Teacher""","company:""Kaoma High School""","location:""Kaoma""","start_date:""2012-08""","end_date:""2014-12""","description:""Taught mathematics and physics""","achievements:[""Developed new curriculum materials""",Mentored 3 new teachers]}],"[{""name"":""STEM Education Initiative""","description:""Science and technology program""","technologies:""Educational Software"," Lab Equipment""","duration:""Ongoing""}]","[{""name"":""Joyce Nyirenda""","relationship:""School Principal""","phone:""+260955901234""","email:""joyce.nyirenda@mss.edu.zm""}]",7,
1512,1513,Joyce Chanda,261000000000.0,joyce.chanda@email.com,Female,07/01/1994,Zambian,Kasama,Northern,Bachelor's,Northern Technical College,2015,Accounting,"ACCA, CPA Zambia","English,Bemba",Fluent,6,Accountant,Employed,Full-time,Kasama,10000,15000,3 weeks,"QuickBooks, Excel, Tax Preparation, Financial Analysis","Attention to Detail, Integrity, Analytical","[{""title"":""Accountant""","company:""ZANACO""","location:""Kasama""","start_date:""2017-03""","end_date:""Present""","description:""Manage financial records and prepare reports""","achievements:[""Reduced accounting errors by 35%""",Improved financial reporting timeline by 20%]},"{""title"":""Accounts Assistant""","company:""Proflight Zambia""","location:""Lusaka""","start_date:""2015-06""","end_date:""2017-02""","description:""Processed invoices and assisted with payroll""","achievements:[""Automated invoice processing saving 10 hours weekly""",Improved vendor payment accuracy]}],"[{""name"":""Financial System Upgrade""","description:""Accounting software implementation""","technologies:""QuickBooks"," Excel""","duration:""4 months""}]","[{""name"":""Catherine Mwila""","relationship:""Finance Manager""","phone:""+260966012345""","email:""catherine.mwila@zanaco.co.zm""}]",8,
1513,1514,Catherine Zimba,261000000000.0,catherine.zimba@email.com,Female,03/11/1996,Zambian,Choma,Southern,Diploma,Livingstone Institute of Business,2016,Marketing,"Digital Marketing Certified, Google Analytics","English,Tonga",Intermediate,3,Marketing Assistant,Employed,Full-time,Choma,5000,7500,2 weeks,"Social Media Management, Content Creation, SEO, Google Ads","Creativity, Communication, Adaptability","[{""title"":""Marketing Assistant""","company:""Zambia National Broadcasting""","location:""Lusaka""","start_date:""2018-09""","end_date:""Present""","description:""Assist with marketing campaigns and social media""","achievements:[""Increased social media engagement by 60%""","Helped grow email list by 2,000 subscribers]}","{""title"":""Intern""","company:""MTN Zambia""","location:""Lusaka""","start_date:""2016-07""","end_date:""2018-08""","description:""Supported marketing team with various tasks""","achievements:[""Assisted in successful product launch""",Created popular social media content]}],"[{""name"":""Brand Awareness Campaign""","description:""Social media marketing campaign""","technologies:""Facebook Ads", Instagram," Canva""","duration:""3 months""}]","[{""name"":""Moses Mutale""","relationship:""Marketing Manager""","phone:""+260977123456""","email:""moses.mutale@znbc.co.zm""}]",
1514,1515,Moses Ngoma,261000000000.0,moses.ngoma@email.com,Male,12/06/1987,Zambian,Mansa,Luapula,Bachelor's,University of Lusaka,2009,Business Administration,"PMP, Six Sigma","English,Bemba,Lunda",Fluent,10,Operations Manager,Employed,Full-time,Luapula,14000,19000,1 month,"Process Improvement, Budget Management, Supply Chain","Strategic Planning, Leadership, Decision-making","[{""title"":""Operations Manager""","company:""Zambeef Products""","location:""Lusaka""","start_date:""2015-11""","end_date:""Present""","description:""Oversee daily operations and process optimization""","achievements:[""Reduced operational costs by 18%""",Improved production efficiency by 25%]},"{""title"":""Supervisor""","company:""Trade Kings""","location:""Ndola""","start_date:""2009-08""","end_date:""2015-10""","description:""Managed production line and quality control""","achievements:[""Increased output by 30%""",Reduced defects by 40%]}],"[{""name"":""Process Automation Project""","description:""Manufacturing process improvement""","technologies:""Lean Manufacturing"," Six Sigma""","duration:""8 months""}]","[{""name"":""Patrick Mwewa""","relationship:""Director of Operations""","phone:""+260955234567""","email:""patrick.mwewa@zambeef.com""}]",9,
1515,1516,Patrick Chola,261000000000.0,patrick.chola@email.com,Male,28/02/1990,Zambian,Mazabuka,Southern,Diploma,Monte Cassino TTC,2011,Agriculture,"Agronomy Certified, Pesticide Application","English,Tonga",Intermediate,8,Agricultural Officer,Employed,Full-time,Southern,7500,10500,3 weeks,"Crop Management, Soil Analysis, Irrigation Systems","Problem-solving, Teaching, Community Engagement","[{""title"":""Agricultural Officer""","company:""Ministry of Agriculture""","location:""Mazabuka""","start_date:""2014-07""","end_date:""Present""","description:""Advise farmers on modern farming techniques""","achievements:[""Increased crop yields by 35% in assigned area""",Trained 500+ farmers in sustainable practices]},"{""title"":""Field Assistant""","company:""Zambia National Farmers Union""","location:""Choma""","start_date:""2011-09""","end_date:""2014-06""","description:""Supported agricultural extension services""","achievements:[""Implemented successful demonstration plots""",Improved farmer adoption rates]}],"[{""name"":""Sustainable Farming Program""","description:""Conservation agriculture initiative""","technologies:""Soil Testing"," Irrigation Design""","duration:""12 months""}]","[{""name"":""Beatrice Mubanga""","relationship:""District Agricultural Coordinator""","phone:""+260966345678""","email:""beatrice.mubanga@gov.zm""}]",7,
1516,1517,Beatrice Kabwe,261000000000.0,beatrice.kabwe@email.com,Female,05/12/1993,Zambian,Chililabombwe,Copperbelt,Bachelor's,Copperbelt University,2014,Environmental Science,"NEBOSH, Environmental Impact Assessment","English,Bemba",Fluent,5,Environmental Officer,Employed,Full-time,Copperbelt,9500,13000,2 weeks,"Environmental Monitoring, Compliance, Waste Management","Analytical Skills, Report Writing, Stakeholder Engagement","[{""title"":""Environmental Officer""","company:""Konkola Copper Mines""","location:""Chililabombwe""","start_date:""2017-02""","end_date:""Present""","description:""Monitor environmental compliance and impact assessments""","achievements:[""Reduced environmental incidents by 50%""",Improved compliance reporting accuracy]},"{""title"":""Environmental Assistant""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2014-08""","end_date:""2017-01""","description:""Supported environmental monitoring programs""","achievements:[""Developed improved sampling protocols""",Trained 15 staff in safety procedures]}],"[{""name"":""Water Quality Monitoring""","description:""Environmental compliance project""","technologies:""Water Testing"," Data Analysis""","duration:""Ongoing""}]","[{""name"":""Christopher Mwamba""","relationship:""Environmental Manager""","phone:""+260977456789""","email:""christopher.mwamba@kcm.co.zm""}]",8,
1517,1518,Christopher Mwaba,261000000000.0,christopher.mwaba@email.com,Male,17/09/1986,Zambian,Kalulushi,Copperbelt,Certificate,Kitwe Trades Training Institute,2007,Mechanical Fitting,"Trade Test, Safety Certified","English,Bemba",Basic,12,Mechanical Fitter,Employed,Full-time,Copperbelt,8500,11500,1 month,"Machine Maintenance, Welding, Fabrication, Blueprint Reading","Technical Skills, Teamwork, Safety Consciousness","[{""title"":""Mechanical Fitter""","company:""First Quantum Minerals""","location:""Kalulushi""","start_date:""2013-05""","end_date:""Present""","description:""Maintain and repair mining equipment""","achievements:[""Reduced equipment breakdowns by 40%""",Implemented preventive maintenance schedule]},"{""title"":""Apprentice Fitter""","company:""Konkola Copper Mines""","location:""Chingola""","start_date:""2007-11""","end_date:""2013-04""","description:""Learned mechanical fitting and maintenance""","achievements:[""Completed trade test with distinction""",Improved repair efficiency by 20%]}],"[{""name"":""Equipment Reliability Program""","description:""Maintenance optimization""","technologies:""Preventive Maintenance"," Reliability Engineering""","duration:""6 months""}]","[{""name"":""Kennedy Mweemba""","relationship:""Maintenance Supervisor""","phone:""+260955567890""","email:""kennedy.mweemba@fqml.co.zm""}]",6,
1518,1519,Kennedy Mwanza,261000000000.0,kennedy.mwanza@email.com,Male,22/07/1991,Zambian,Chinsali,Muchinga,Bachelor's,Mukuba University,2013,Information Technology,"CCNA, Microsoft Certified","English,Bemba",Fluent,6,IT Support Specialist,Employed,Full-time,Muchinga,8000,12000,2 weeks,"Network Administration, Hardware Repair, Software Support","Customer Service, Troubleshooting, Communication","[{""title"":""IT Support Specialist""","company:""Ministry of Education""","location:""Chipata""","start_date:""2016-09""","end_date:""Present""","description:""Provide IT support to government offices""","achievements:[""Reduced system downtime by 60%""",Implemented new network infrastructure]},"{""title"":""IT Technician""","company:""Airtel Zambia""","location:""Lusaka""","start_date:""2013-10""","end_date:""2016-08""","description:""Supported corporate IT systems""","achievements:[""Improved help desk response time""",Trained staff on new software]}],"[{""name"":""Network Infrastructure Upgrade""","description:""Government office network improvement""","technologies:""Cisco", Windows Server," Active Directory""","duration:""4 months""}]","[{""name"":""Esther Njobvu""","relationship:""IT Manager""","phone:""+260966678901""","email:""esther.njobvu@moe.gov.zm""}]",
1519,1520,Esther Chama,261000000000.0,esther.chama@email.com,Female,14/04/1994,Zambian,Mpika,Muchinga,Diploma,Nkrumah Teachers College,2014,Early Childhood Education,"Teaching License, Child Development","English,Bemba",Intermediate,5,Preschool Teacher,Employed,Full-time,Muchinga,5500,8000,1 month,"Child Development, Lesson Planning, Classroom Management","Patience, Creativity, Communication","[{""title"":""Preschool Teacher""","company:""Little Angels School""","location:""Mpika""","start_date:""2016-03""","end_date:""Present""","description:""Teach children aged 3-5 years""","achievements:[""Improved student readiness for primary school""",Developed innovative learning materials]},"{""title"":""Teaching Assistant""","company:""Bright Start Academy""","location:""Kabwe""","start_date:""2014-08""","end_date:""2016-02""","description:""Assisted lead teacher with daily activities""","achievements:[""Created popular learning games""",Improved parent-teacher communication]}],"[{""name"":""Early Literacy Program""","description:""Reading readiness initiative""","technologies:""Educational Materials"," Assessment Tools""","duration:""Ongoing""}]","[{""name"":""Francis Mwiinga""","relationship:""School Director""","phone:""+260977789012""","email:""francis.mwiinga@littleangels.edu.zm""}]",5,
1520,1521,Francis Mpundu,261000000000.0,francis.mpundu@email.com,Male,30/01/1989,Zambian,Kalomo,Southern,Bachelor's,Zambia Catholic University,2011,Social Work,"Social Work License, Counseling","English,Tonga",Fluent,8,Social Worker,Employed,Full-time,Southern,7000,10000,3 weeks,"Case Management, Counseling, Community Development","Empathy, Active Listening, Cultural Sensitivity","[{""title"":""Social Worker""","company:""Ministry of Community Development""","location:""Livingstone""","start_date:""2015-04""","end_date:""Present""","description:""Provide social services and community support""","achievements:[""Helped 200+ families access social services""",Developed community support programs]},"{""title"":""Community Worker""","company:""World Vision Zambia""","location:""Monze""","start_date:""2011-11""","end_date:""2015-03""","description:""Implemented community development projects""","achievements:[""Improved access to clean water for 3 villages""",Organized youth empowerment programs]}],"[{""name"":""Community Empowerment Project""","description:""Rural development initiative""","technologies:""Community Mobilization"," Needs Assessment""","duration:""18 months""}]","[{""name"":""George Ngosa""","relationship:""Program Manager""","phone:""+260955890123""","email:""george.ngosa@gov.zm""}]",8,
1521,1522,George Mudenda,261000000000.0,george.mudenda@email.com,Male,09/08/1984,Zambian,Sesheke,Western,Certificate,Sesheke Trades School,2003,Masonry,"Trade Test, Construction Safety","English,Lozi,Silozzi",Basic,16,Master Mason,Self-Employed,Contract,Western,6000,9000,Immediate,"Bricklaying, Concrete Work, Blueprint Reading","Quality Focus, Team Leadership, Reliability","[{""title"":""Master Mason""","company:""Mudenda Construction""","location:""Sesheke""","start_date:""2010-02""","end_date:""Present""","description:""Run own masonry business with 4 employees""","achievements:[""Completed 50+ construction projects""",Maintained 100% safety record]},"{""title"":""Mason""","company:""Various Contractors""","location:""Western Province""","start_date:""2003-07""","end_date:""2010-01""","description:""Worked on residential and commercial projects""","achievements:[""Known for high-quality finish work""",Trained 8 apprentice masons]}],"[{""name"":""School Construction Project""","description:""Community school building""","technologies:""Traditional and Modern Masonry""","duration:""6 months""}]","[{""name"":""Loveness Mvula""","relationship:""Client""","phone:""+260966901234""","email:""loveness.mvula@email.com""}]",6,,
1522,1523,Loveness Mtonga,261000000000.0,loveness.mtonga@email.com,Female,25/11/1992,Zambian,Kapiri Mposhi,Central,Bachelor's,Nkrumah University,2013,Public Administration,"Project Management, Public Policy","English,Bemba",Fluent,6,Administrative Officer,Employed,Full-time,Central,8500,12000,2 weeks,"Office Management, Records Management, Procurement","Organization, Communication, Interpersonal Skills","[{""title"":""Administrative Officer""","company:""Central Province Administration""","location:""Kabwe""","start_date:""2016-08""","end_date:""Present""","description:""Manage office operations and administrative functions""","achievements:[""Streamlined filing system saving 10 hours weekly""",Improved procurement process efficiency]},"{""title"":""Administrative Assistant""","company:""District Education Office""","location:""Kapiri Mposhi""","start_date:""2013-09""","end_date:""2016-07""","description:""Provided administrative support""","achievements:[""Improved document processing time""",Organized successful training events]}],"[{""name"":""Office Automation Project""","description:""Digital records management""","technologies:""Microsoft Office"," Document Management""","duration:""3 months""}]","[{""name"":""Mercy Moonga""","relationship:""Department Head""","phone:""+260977012345""","email:""mercy.moonga@gov.zm""}]",7,
