cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
1046,Muuka Kabinda,261000000000.0,muuka.kabinda@email.com,Male,19/10/1992,Zambian,Solwezi,North-Western,Diploma,Solwezi Technical School,2009,Mining Operations,"Mine Safety,Equipment Operation","English,Kaonde",Intermediate,8,Mine Supervisor,Employed,Full-time,North-Western,13500,18500,1 month,"Mine Operations,Safety Management,Team Leadership","Leadership,Safety Focus,Problem-solving","[{""title"":""Mine Supervisor""","company:""First Quantum Minerals""","location:""Kalumbila""","start_date:""2014-11""","end_date:""Present""","description:""Supervise mining operations and team""","achievements:[""Improved safety performance""",Enhanced operational efficiency]},"{""title"":""Mine Operator""","company:""Lumwana Mine""","location:""Solwezi""","start_date:""2009-04""","end_date:""2014-10""","description:""Operated mining equipment""","achievements:[""Maintained safety standards""",Improved operational skills]}],"[{""name"":""Safety Improvement Program""","description:""Mine safety enhancement""","technologies:""Safety Systems","Monitoring""","duration:""8 months""}]","[{""name"":""Mponda Sinkonde""","relationship:""Operations Manager""","phone:""+260966789030""","email:""mponda.sinkonde@fqml.co.zm""}]",8,
1047,Mponda Moomba,261000000000.0,mponda.moomba@email.com,Female,12/03/1990,Zambian,Livingstone,Southern,Bachelor's,Rusangu University,2011,Hospitality Management,"Hotel Management,Customer Service","English,Tonga",Fluent,6,Hotel Manager,Employed,Full-time,Southern,12000,17000,2 weeks,"Hotel Operations,Revenue Management,Staff Supervision","Leadership,Customer Service,Financial Management","[{""title"":""Hotel Manager""","company:""Protea Hotel""","location:""Livingstone""","start_date:""2015-09""","end_date:""Present""","description:""Manage hotel operations""","achievements:[""Improved occupancy rates""",Enhanced guest satisfaction]},"{""title"":""Assistant Manager""","company:""Royal Livingstone Hotel""","location:""Livingstone""","start_date:""2011-08""","end_date:""2015-08""","description:""Supported hotel management""","achievements:[""Improved operational efficiency""",Enhanced staff training]}],"[{""name"":""Hotel Revenue Optimization""","description:""Business performance improvement""","technologies:""Hotel Management Systems","Revenue Management""","duration:""7 months""}]","[{""name"":""Nsofu Simushi""","relationship:""Regional Manager""","phone:""+260977890141""","email:""nsofu.simushi@protea.com""}]",8,
1048,Nsofu Chavula,261000000000.0,nsofu.chavula@email.com,Male,04/07/1987,Zambian,Kabwe,Central,Certificate,Kabwe Technical School,2004,Motor Mechanics,"Automotive Repair,Diagnostics","English,Bemba",Basic,13,Motor Mechanic,Self-Employed,Contract,Central,10000,15000,Immediate,"Engine Repair,Transmission,Electrical Systems","Technical Skills,Problem-solving,Reliability","[{""title"":""Motor Mechanic""","company:""Nsofu's Auto Repair""","location:""Kabwe""","start_date:""2008-08""","end_date:""Present""","description:""Run own automotive repair business""","achievements:[""Built strong reputation""",Maintained customer loyalty]},"{""title"":""Mechanic""","company:""Various Garages""","location:""Central Province""","start_date:""2004-02""","end_date:""2008-07""","description:""Worked as mechanic""","achievements:[""Mastered diagnostic techniques""",Improved repair efficiency]}],"[{""name"":""Vehicle Maintenance Services""","description:""Automotive repair and maintenance""","technologies:""Diagnostic Tools","Repair Equipment""","duration:""Ongoing""}]","[{""name"":""Kalinda Kabuswe""","relationship:""Regular Client""","phone:""+260955901252""","email:""kalinda.kabuswe@email.com""}]",6,
1049,Kalinda Chifita,261000000000.0,kalinda.chifita@email.com,Female,26/05/1993,Zambian,Chipata,Eastern,Diploma,Chipata Business College,2011,Office Administration,"Secretarial,Computer Skills","English,Nyanja",Intermediate,6,Office Administrator,Employed,Full-time,Eastern,8500,12000,2 weeks,"Office Management,Records,Procurement","Organization,Communication,Multitasking","[{""title"":""Office Administrator""","company:""Eastern Province Administration""","location:""Chipata""","start_date:""2015-12""","end_date:""Present""","description:""Manage office operations""","achievements:[""Improved office efficiency""",Streamlined procurement processes]},"{""title"":""Administrative Assistant""","company:""Various Organizations""","location:""Eastern Province""","start_date:""2011-05""","end_date:""2015-11""","description:""Provided administrative support""","achievements:[""Improved document management""",Enhanced customer service]}],"[{""name"":""Office System Improvement""","description:""Administrative process enhancement""","technologies:""Office Software","Process Mapping""","duration:""4 months""}]","[{""name"":""Nkunika Makondo""","relationship:""Office Manager""","phone:""+260966012363""","email:""nkunika.makondo@gov.zm""}]",7,
1050,Nkunika Sakuwaha,261000000000.0,nkunika.sakuwaha@email.com,Male,09/08/1991,Zambian,Kitwe,Copperbelt,Bachelor's,Copperbelt University,2012,Electrical Engineering,"Professional Engineer,Project Management","English,Bemba",Fluent,5,Electrical Engineer,Employed,Full-time,Copperbelt,18000,24000,1 month,"Electrical Design,Power Systems,Project Management","Technical Leadership,Problem-solving,Innovation","[{""title"":""Electrical Engineer""","company:""ZESCO""","location:""Kitwe""","start_date:""2015-06""","end_date:""Present""","description:""Design electrical power systems""","achievements:[""Improved system reliability""",Enhanced safety standards]},"{""title"":""Junior Engineer""","company:""Copperbelt Energy Corporation""","location:""Chingola""","start_date:""2012-08""","end_date:""2015-05""","description:""Supported electrical engineering""","achievements:[""Improved design capabilities""",Enhanced technical skills]}],"[{""name"":""Power System Upgrade""","description:""Electrical infrastructure improvement""","technologies:""Power Systems","Protection""","duration:""10 months""}]","[{""name"":""Kapepa Kalale""","relationship:""Chief Engineer""","phone:""+260977123475""","email:""kapepa.kalale@zesco.co.zm""}]",9,
1051,Kapepa Nguluwe,261000000000.0,kapepa.nguluwe@email.com,Male,03/12/1992,Zambian,Solwezi,North-Western,Certificate,Solwezi Technical School,2008,Heavy Equipment,"Equipment Operation,Maintenance","English,Kaonde",Basic,9,Heavy Equipment Operator,Employed,Full-time,North-Western,13000,17500,1 month,"Excavator Operation,Bulldozer,Loader","Safety Consciousness,Precision,Teamwork","[{""title"":""Heavy Equipment Operator""","company:""First Quantum Minerals""","location:""Kalumbila""","start_date:""2013-09""","end_date:""Present""","description:""Operate heavy mining equipment""","achievements:[""Maintained perfect safety record""",Improved operational efficiency]},"{""title"":""Equipment Operator""","company:""Lumwana Mine""","location:""Solwezi""","start_date:""2008-04""","end_date:""2013-08""","description:""Operated various equipment""","achievements:[""Certified on multiple machines""",Improved operating techniques]}],"[{""name"":""Mine Development Operations""","description:""Open pit mining operations""","technologies:""Heavy Equipment","GPS Systems""","duration:""Ongoing""}]","[{""name"":""Namasiku Kalulu""","relationship:""Operations Supervisor""","phone:""+260955234586""","email:""namasiku.kalulu@fqml.co.zm""}]",7,
1052,Namasiku Inambao,261000000000.0,namasiku.inambao@email.com,Female,18/06/1994,Zambian,Livingstone,Southern,Diploma,Livingstone Tourism College,2012,Tourism Management,"Tour Guide,Hospitality","English,Tonga",Intermediate,5,Tour Guide,Self-Employed,Freelance,Southern,7500,11000,Immediate,"Tour Guiding,Cultural Knowledge,Customer Service","Communication,Hospitality,Knowledge","[{""title"":""Tour Guide""","company:""Inambao Tourism Services""","location:""Livingstone""","start_date:""2015-09""","end_date:""Present""","description:""Operate own tour guiding business""","achievements:[""Maintained high customer ratings""",Built strong reputation]},"{""title"":""Guide""","company:""Various Tour Companies""","location:""Livingstone""","start_date:""2012-06""","end_date:""2015-08""","description:""Worked as tour guide""","achievements:[""Improved guiding skills""",Enhanced cultural knowledge]}],"[{""name"":""Cultural Tourism Development""","description:""Local culture promotion""","technologies:""Tour Planning","Cultural Interpretation""","duration:""Ongoing""}]","[{""name"":""Mukuwa Musole""","relationship:""Tourism Association Member""","phone:""+260966345697""","email:""mukuwa.musole@tourism.org.zm""}]",6,
1053,Mukuwa Kalusa,261000000000.0,mukuwa.kalusa@email.com,Male,22/09/1989,Zambian,Kabwe,Central,Bachelor's,University of Zambia,2010,Environmental Science,"Environmental Management,Conservation","English,Bemba",Fluent,7,Environmental Officer,Employed,Full-time,Central,12500,17500,1 month,"Environmental Monitoring,Compliance,Conservation","Analytical Thinking,Communication,Compliance","[{""title"":""Environmental Officer""","company:""Ministry of Lands and Natural Resources""","location:""Kabwe""","start_date:""2014-08""","end_date:""Present""","description:""Monitor environmental compliance""","achievements:[""Improved environmental standards""",Enhanced conservation efforts]},"{""title"":""Environmental Assistant""","company:""Various Organizations""","location:""Central Province""","start_date:""2010-09""","end_date:""2014-07""","description:""Supported environmental programs""","achievements:[""Improved monitoring techniques""",Enhanced data collection]}],"[{""name"":""Environmental Conservation Program""","description:""Natural resource protection""","technologies:""Monitoring Systems","Conservation""","duration:""8 months""}]","[{""name"":""Mazyopa Chabinga""","relationship:""Environmental Manager""","phone:""+260977456808""","email:""mazyopa.chabinga@gov.zm""}]",8,
1054,Mazyopa Musunga,261000000000.0,mazyopa.musunga@email.com,Female,14/02/1991,Zambian,Chipata,Eastern,Diploma,Chipata Nursing School,2009,Nursing,"Nursing License,Patient Care","English,Nyanja",Intermediate,8,Nurse,Employed,Full-time,Eastern,10000,14500,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Chipata General Hospital""","location:""Chipata""","start_date:""2013-10""","end_date:""Present""","description:""Provide nursing care""","achievements:[""Improved patient outcomes""",Enhanced health education]},"{""title"":""Nursing Intern""","company:""Various Health Facilities""","location:""Eastern Province""","start_date:""2009-05""","end_date:""2013-09""","description:""Completed nursing training""","achievements:[""Improved clinical skills""",Enhanced patient care]}],"[{""name"":""Community Health Program""","description:""Public health initiative""","technologies:""Health Education","Patient Care""","duration:""Ongoing""}]","[{""name"":""Nyemba Nkausu""","relationship:""Nursing Officer""","phone:""+260955567922""","email:""nyemba.nkausu@cgh.gov.zm""}]",7,
1055,Nyemba Mafuta,261000000000.0,nyemba.mafuta@email.com,Male,30/04/1987,Zambian,Kitwe,Copperbelt,Certificate,Kitwe Technical School,2004,Welding and Fabrication,"Welding,Fabrication","English,Bemba",Basic,13,Welder,Self-Employed,Contract,Copperbelt,10500,15500,Immediate,"Welding,Fabrication,Metal Work","Technical Skills,Precision,Reliability","[{""title"":""Welder/Fabricator""","company:""Nyemba Metal Works""","location:""Kitwe""","start_date:""2008-08""","end_date:""Present""","description:""Run own welding and fabrication business""","achievements:[""Known for quality work""",Supplied various industries]},"{""title"":""Welder""","company:""Various Companies""","location:""Copperbelt""","start_date:""2004-02""","end_date:""2008-07""","description:""Worked as welder""","achievements:[""Mastered multiple techniques""",Improved fabrication skills]}],"[{""name"":""Metal Fabrication Services""","description:""Custom metal work""","technologies:""Welding Equipment","Fabrication""","duration:""Ongoing""}]","[{""name"":""Ngombe Nambeya""","relationship:""Regular Client""","phone:""+260966678922""","email:""ngombe.nambeya@email.com""}]",6,
1056,Ngombe Mweshi,261000000000.0,ngombe.mweshi@email.com,Female,07/11/1993,Zambian,Lusaka,Lusaka,Bachelor's,University of Lusaka,2013,Computer Science,"Programming,Database","English,Nyanja",Fluent,4,Software Developer,Employed,Full-time,Lusaka,14500,19500,2 weeks,"Java,Python,SQL,Web Development","Problem-solving,Teamwork,Learning Ability","[{""title"":""Software Developer""","company:""Liquid Telecom""","location:""Lusaka""","start_date:""2015-10""","end_date:""Present""","description:""Develop software applications""","achievements:[""Improved application performance""",Enhanced user experience]},"{""title"":""Intern Developer""","company:""Various Companies""","location:""Lusaka""","start_date:""2013-07""","end_date:""2015-09""","description:""Completed development internships""","achievements:[""Improved programming skills""",Enhanced technical knowledge]}],"[{""name"":""Web Application Development""","description:""Business application project""","technologies:""Java",Python,"Database""","duration:""5 months""}]","[{""name"":""Mulwanda Musangu""","relationship:""Development Manager""","phone:""+260977789031""","email:""mulwanda.musangu@liquidtelecom.co.zm""}]",
1057,Mulwanda Mukanda,261000000000.0,mulwanda.mukanda@email.com,Male,26/07/1990,Zambian,Mongu,Western,Bachelor's,University of Zambia,2011,Education,"Teaching License,Curriculum","English,Lozi",Fluent,6,Teacher,Employed,Full-time,Western,10500,15000,2 months,"Teaching,Curriculum Development,Assessment","Patience,Communication,Creativity","[{""title"":""Teacher""","company:""Mongu Secondary School""","location:""Mongu""","start_date:""2014-08""","end_date:""Present""","description:""Teach secondary school students""","achievements:[""Improved student performance""",Developed innovative teaching methods]},"{""title"":""Student Teacher""","company:""Various Schools""","location:""Western Province""","start_date:""2011-09""","end_date:""2014-07""","description:""Completed teaching practice""","achievements:[""Received excellent evaluations""",Improved classroom management]}],"[{""name"":""Educational Improvement Program""","description:""Teaching and learning enhancement""","technologies:""Educational Materials","Assessment""","duration:""Ongoing""}]","[{""name"":""Zuze Singogo""","relationship:""Head Teacher""","phone:""+260955890142""","email:""zuze.singogo@mss.edu.zm""}]",7,
1058,Zuze Chitundu,261000000000.0,zuze.chitundu@email.com,Male,15/12/1988,Zambian,Solwezi,North-Western,Certificate,Solwezi Technical School,2005,Motor Mechanics,"Automotive Repair,Diagnostics","English,Kaonde",Basic,12,Motor Mechanic,Self-Employed,Contract,North-Western,11000,16000,Immediate,"Engine Repair,Transmission,Electrical Systems","Technical Skills,Problem-solving,Reliability","[{""title"":""Motor Mechanic""","company:""Zuze's Auto Repair""","location:""Solwezi""","start_date:""2009-08""","end_date:""Present""","description:""Run own automotive repair business""","achievements:[""Built strong reputation""",Maintained customer loyalty]},"{""title"":""Mechanic""","company:""Various Garages""","location:""North-Western""","start_date:""2005-02""","end_date:""2009-07""","description:""Worked as mechanic""","achievements:[""Mastered diagnostic techniques""",Improved repair efficiency]}],"[{""name"":""Vehicle Maintenance Services""","description:""Automotive repair and maintenance""","technologies:""Diagnostic Tools","Repair Equipment""","duration:""Ongoing""}]","[{""name"":""Siyanga Mutelo""","relationship:""Regular Client""","phone:""+260966901253""","email:""siyanga.mutelo@email.com""}]",6,
1059,Siyanga Kapata,261000000000.0,siyanga.kapata@email.com,Female,29/03/1994,Zambian,Livingstone,Southern,Bachelor's,Rusangu University,2014,Hospitality Management,"Hotel Management,Customer Service","English,Tonga",Fluent,3,Hotel Supervisor,Employed,Full-time,Southern,9000,13000,2 weeks,"Front Office Operations,Reservation Systems,Guest Services","Customer Service,Problem-solving,Team Management","[{""title"":""Hotel Supervisor""","company:""Royal Livingstone Hotel""","location:""Livingstone""","start_date:""2016-09""","end_date:""Present""","description:""Supervise front office and guest services""","achievements:[""Improved guest satisfaction scores""",Reduced check-in time]},"{""title"":""Receptionist""","company:""Protea Hotel""","location:""Livingstone""","start_date:""2014-08""","end_date:""2016-08""","description:""Handled guest check-in and reservations""","achievements:[""Maintained high guest satisfaction""",Trained new receptionists]}],"[{""name"":""Guest Experience Improvement""","description:""Service quality enhancement""","technologies:""Hotel Software","Quality Standards""","duration:""Ongoing""}]","[{""name"":""Mulimba Lumbwe""","relationship:""Hotel Manager""","phone:""+260977012364""","email:""mulimba.lumbwe@royalhotel.com""}]",7,
1060,Mulimba Mulyata,261000000000.0,mulimba.mulyata@email.com,Male,11/05/1991,Zambian,Kabwe,Central,Bachelor's,University of Zambia,2012,Agriculture,"Agronomy,Crop Science","English,Bemba",Fluent,5,Agricultural Officer,Employed,Full-time,Central,11500,16500,2 weeks,"Crop Management,Soil Science,Extension Services","Teaching,Communication,Problem-solving","[{""title"":""Agricultural Officer""","company:""Ministry of Agriculture""","location:""Kabwe""","start_date:""2015-07""","end_date:""Present""","description:""Provide agricultural extension services""","achievements:[""Increased crop yields by 25%""",Improved farmer adoption of technologies]},"{""title"":""Field Officer""","company:""Zambia National Farmers Union""","location:""Kapiri Mposhi""","start_date:""2012-08""","end_date:""2015-06""","description:""Supported agricultural programs""","achievements:[""Improved farmer training""",Enhanced demonstration plots]}],"[{""name"":""Sustainable Agriculture Program""","description:""Conservation farming promotion""","technologies:""Soil Conservation","Crop Management""","duration:""9 months""}]","[{""name"":""Kayamba Musamba""","relationship:""District Agricultural Officer""","phone:""+260955123476""","email:""kayamba.musamba@gov.zm""}]",7,
1061,Kayamba Katontoka,261000000000.0,kayamba.katontoka@email.com,Female,03/08/1989,Zambian,Kitwe,Copperbelt,Diploma,Kitwe Nursing School,2007,Nursing,"Nursing License,Patient Care","English,Bemba",Intermediate,10,Nurse,Employed,Full-time,Copperbelt,11000,15500,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Kitwe Central Hospital""","location:""Kitwe""","start_date:""2011-09""","end_date:""Present""","description:""Provide nursing care""","achievements:[""Improved patient outcomes""",Enhanced health education]},"{""title"":""Nursing Intern""","company:""Various Health Facilities""","location:""Copperbelt""","start_date:""2007-05""","end_date:""2011-08""","description:""Completed nursing training""","achievements:[""Improved clinical skills""",Enhanced patient care]}],"[{""name"":""Patient Care Improvement""","description:""Healthcare quality initiative""","technologies:""Medical Equipment","Health Records""","duration:""Ongoing""}]","[{""name"":""Mabuku Chimuka""","relationship:""Nursing Officer""","phone:""+260966234587""","email:""mabuku.chimuka@kch.gov.zm""}]",7,
1062,Mabuku Simangolwa,261000000000.0,mabuku.simangolwa@email.com,Male,28/01/1992,Zambian,Solwezi,North-Western,Certificate,Solwezi Technical School,2008,Heavy Equipment,"Equipment Operation,Maintenance","English,Kaonde",Basic,9,Heavy Equipment Operator,Employed,Full-time,North-Western,13500,18000,1 month,"Excavator Operation,Bulldozer,Loader","Safety Consciousness,Precision,Teamwork","[{""title"":""Heavy Equipment Operator""","company:""First Quantum Minerals""","location:""Kalumbila""","start_date:""2013-09""","end_date:""Present""","description:""Operate heavy mining equipment""","achievements:[""Maintained perfect safety record""",Improved operational efficiency]},"{""title"":""Equipment Operator""","company:""Lumwana Mine""","location:""Solwezi""","start_date:""2008-04""","end_date:""2013-08""","description:""Operated various equipment""","achievements:[""Certified on multiple machines""",Improved operating techniques]}],"[{""name"":""Mine Development Operations""","description:""Open pit mining operations""","technologies:""Heavy Equipment","GPS Systems""","duration:""Ongoing""}]","[{""name"":""Munene Machila""","relationship:""Operations Supervisor""","phone:""+260977345698""","email:""munene.machila@fqml.co.zm""}]",7,
1063,Munene Luhanga,261000000000.0,munene.luhanga@email.com,Male,19/06/1987,Zambian,Mongu,Western,Certificate,Mongu Technical School,2004,Carpentry,"Woodworking,Furniture","English,Lozi",Basic,13,Carpenter,Self-Employed,Contract,Western,8500,12500,Immediate,"Carpentry,Furniture Making,Construction","Craftsmanship,Quality Focus,Reliability","[{""title"":""Carpenter""","company:""Munene Woodworks""","location:""Mongu""","start_date:""2008-07""","end_date:""Present""","description:""Run own carpentry business""","achievements:[""Known for quality furniture""",Built strong reputation]},"{""title"":""Apprentice Carpenter""","company:""Various Workshops""","location:""Western Province""","start_date:""2004-02""","end_date:""2008-06""","description:""Learned carpentry""","achievements:[""Mastered woodworking techniques""",Improved furniture design]}],"[{""name"":""Custom Furniture Production""","description:""Handcrafted furniture""","technologies:""Woodworking Tools","Finishing""","duration:""Ongoing""}]","[{""name"":""Kamwendo Katanga""","relationship:""Regular Client""","phone:""+260955456809""","email:""kamwendo.katanga@email.com""}]",6,
1064,Kamwendo Kalasa,261000000000.0,kamwendo.kalasa@email.com,Female,12/09/1994,Zambian,Lusaka,Lusaka,Bachelor's,University of Lusaka,2014,Finance,"Financial Analysis,Accounting","English,Nyanja",Fluent,3,Financial Analyst,Employed,Full-time,Lusaka,15000,20000,3 weeks,"Financial Modeling,Investment Analysis,Excel","Analytical Thinking,Attention to Detail,Communication","[{""title"":""Financial Analyst""","company:""Bank of Zambia""","location:""Lusaka""","start_date:""2016-08""","end_date:""Present""","description:""Analyze financial markets and investments""","achievements:[""Improved investment returns""",Enhanced financial reporting]},"{""title"":""Graduate Trainee""","company:""Stanbic Bank""","location:""Lusaka""","start_date:""2014-07""","end_date:""2016-07""","description:""Completed banking training program""","achievements:[""Completed training with distinction""",Improved financial analysis skills]}],"[{""name"":""Investment Portfolio Analysis""","description:""Financial market research""","technologies:""Financial Modeling","Data Analysis""","duration:""6 months""}]","[{""name"":""Ndalama Kafunda""","relationship:""Senior Analyst""","phone:""+260966567923""","email:""ndalama.kafunda@boz.zm""}]",8,
1065,Ndalama Kasoma,261000000000.0,ndalama.kasoma@email.com,Male,05/04/1990,Zambian,Chipata,Eastern,Bachelor's,Catholic University,2011,Agriculture,"Agronomy,Crop Science","English,Nyanja",Fluent,6,Agricultural Officer,Employed,Full-time,Eastern,12000,17000,2 weeks,"Crop Management,Soil Science,Extension Services","Teaching,Communication,Problem-solving","[{""title"":""Agricultural Officer""","company:""Ministry of Agriculture""","location:""Chipata""","start_date:""2014-07""","end_date:""Present""","description:""Provide agricultural extension services""","achievements:[""Increased crop yields by 30%""",Improved farmer adoption of technologies]},"{""title"":""Field Officer""","company:""Zambia National Farmers Union""","location:""Lundazi""","start_date:""2011-08""","end_date:""2014-06""","description:""Supported agricultural programs""","achievements:[""Improved farmer training""",Enhanced demonstration plots]}],"[{""name"":""Sustainable Agriculture Program""","description:""Conservation farming promotion""","technologies:""Soil Conservation","Crop Management""","duration:""9 months""}]","[{""name"":""Kanyama Malaya""","relationship:""District Agricultural Officer""","phone:""+260977678923""","email:""kanyama.malaya@gov.zm""}]",8,
1066,Kanyama Mulonga,261000000000.0,kanyama.mulonga@email.com,Male,24/11/1988,Zambian,Kitwe,Copperbelt,Certificate,Kitwe Technical School,2005,Welding and Fabrication,"Welding,Fabrication","English,Bemba",Basic,12,Welder,Self-Employed,Contract,Copperbelt,11000,16000,Immediate,"Welding,Fabrication,Metal Work","Technical Skills,Precision,Reliability","[{""title"":""Welder/Fabricator""","company:""Kanyama Metal Works""","location:""Kitwe""","start_date:""2009-08""","end_date:""Present""","description:""Run own welding and fabrication business""","achievements:[""Known for quality work""",Supplied various industries]},"{""title"":""Welder""","company:""Various Companies""","location:""Copperbelt""","start_date:""2005-02""","end_date:""2009-07""","description:""Worked as welder""","achievements:[""Mastered multiple techniques""",Improved fabrication skills]}],"[{""name"":""Metal Fabrication Services""","description:""Custom metal work""","technologies:""Welding Equipment","Fabrication""","duration:""Ongoing""}]","[{""name"":""Kangombe Mulowa""","relationship:""Regular Client""","phone:""+260955789032""","email:""kangombe.mulowa@email.com""}]",6,
1067,Kangombe Chiwele,261000000000.0,kangombe.chiwele@email.com,Female,17/07/1993,Zambian,Solwezi,North-Western,Diploma,Solwezi Business College,2011,Office Administration,"Secretarial,Computer Skills","English,Kaonde",Intermediate,6,Office Administrator,Employed,Full-time,North-Western,9500,13500,2 weeks,"Office Management,Records,Procurement","Organization,Communication,Multitasking","[{""title"":""Office Administrator""","company:""North-Western Province Administration""","location:""Solwezi""","start_date:""2014-12""","end_date:""Present""","description:""Manage office operations""","achievements:[""Improved office efficiency""",Streamlined procurement processes]},"{""title"":""Administrative Assistant""","company:""Various Organizations""","location:""North-Western""","start_date:""2011-05""","end_date:""2014-11""","description:""Provided administrative support""","achievements:[""Improved document management""",Enhanced customer service]}],"[{""name"":""Office System Improvement""","description:""Administrative process enhancement""","technologies:""Office Software","Process Mapping""","duration:""4 months""}]","[{""name"":""Moola Nakaonga""","relationship:""Office Manager""","phone:""+260966890143""","email:""moola.nakaonga@gov.zm""}]",7,
1068,Moola Malata,261000000000.0,moola.malata@email.com,Male,08/02/1991,Zambian,Mongu,Western,Bachelor's,University of Zambia,2012,Environmental Science,"Environmental Management,Conservation","English,Lozi",Fluent,5,Environmental Officer,Employed,Full-time,Western,13000,18000,1 month,"Environmental Monitoring,Compliance,Conservation","Analytical Thinking,Communication,Compliance","[{""title"":""Environmental Officer""","company:""Zambia Wildlife Authority""","location:""Mongu""","start_date:""2015-07""","end_date:""Present""","description:""Monitor environmental compliance""","achievements:[""Improved environmental standards""",Enhanced conservation efforts]},"{""title"":""Environmental Assistant""","company:""Various Organizations""","location:""Western Province""","start_date:""2012-08""","end_date:""2015-06""","description:""Supported environmental programs""","achievements:[""Improved monitoring techniques""",Enhanced data collection]}],"[{""name"":""Environmental Conservation Program""","description:""Wildlife protection initiative""","technologies:""Monitoring Systems","Conservation""","duration:""8 months""}]","[{""name"":""Mufaya Simbeya""","relationship:""Environmental Manager""","phone:""+260977901254""","email:""mufaya.simbeya@zawa.org.zm""}]",7,
1069,Mufaya Sepiso,261000000000.0,mufaya.sepiso@email.com,Female,31/10/1989,Zambian,Livingstone,Southern,Diploma,Livingstone Tourism College,2007,Hospitality,"Hotel Management,Customer Service","English,Tonga",Intermediate,10,Hotel Manager,Employed,Full-time,Southern,12500,17500,2 weeks,"Hotel Operations,Revenue Management,Staff Supervision","Leadership,Customer Service,Financial Management","[{""title"":""Hotel Manager""","company:""Protea Hotel""","location:""Livingstone""","start_date:""2012-09""","end_date:""Present""","description:""Manage hotel operations""","achievements:[""Improved occupancy rates""",Enhanced guest satisfaction]},"{""title"":""Assistant Manager""","company:""Royal Livingstone Hotel""","location:""Livingstone""","start_date:""2007-06""","end_date:""2012-08""","description:""Supported hotel management""","achievements:[""Improved operational efficiency""",Enhanced staff training]}],"[{""name"":""Hotel Revenue Optimization""","description:""Business performance improvement""","technologies:""Hotel Management Systems","Revenue Management""","duration:""7 months""}]","[{""name"":""Katoka Kalobwe""","relationship:""Regional Manager""","phone:""+260955012365""","email:""katoka.kalobwe@protea.com""}]",8,
1070,Katoka Kapila,261000000000.0,katoka.kapila@email.com,Male,14/05/1994,Zambian,Kabwe,Central,Bachelor's,University of Zambia,2014,Computer Science,"Programming,Database","English,Bemba",Fluent,3,Software Developer,Employed,Full-time,Central,15500,20500,2 weeks,"Java,Python,SQL,Web Development","Problem-solving,Teamwork,Learning Ability","[{""title"":""Software Developer""","company:""Liquid Telecom""","location:""Lusaka""","start_date:""2016-10""","end_date:""Present""","description:""Develop software applications""","achievements:[""Improved application performance""",Enhanced user experience]},"{""title"":""Intern Developer""","company:""Various Companies""","location:""Lusaka""","start_date:""2014-07""","end_date:""2016-09""","description:""Completed development internships""","achievements:[""Improved programming skills""",Enhanced technical knowledge]}],"[{""name"":""Web Application Development""","description:""Business application project""","technologies:""Java",Python,"Database""","duration:""5 months""}]","[{""name"":""Kachali Songwe""","relationship:""Development Manager""","phone:""+260966123477""","email:""kachali.songwe@liquidtelecom.co.zm""}]",
1071,Kachali Masuwa,261000000000.0,kachali.masuwa@email.com,Female,27/08/1990,Zambian,Chipata,Eastern,Diploma,Chipata Nursing School,2008,Nursing,"Nursing License,Patient Care","English,Nyanja",Intermediate,9,Nurse,Employed,Full-time,Eastern,11500,16000,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Chipata General Hospital""","location:""Chipata""","start_date:""2012-10""","end_date:""Present""","description:""Provide nursing care""","achievements:[""Improved patient outcomes""",Enhanced health education]},"{""title"":""Nursing Intern""","company:""Various Health Facilities""","location:""Eastern Province""","start_date:""2008-05""","end_date:""2012-09""","description:""Completed nursing training""","achievements:[""Improved clinical skills""",Enhanced patient care]}],"[{""name"":""Community Health Program""","description:""Public health initiative""","technologies:""Health Education","Patient Care""","duration:""Ongoing""}]","[{""name"":""Nampungwe Kabinga""","relationship:""Nursing Officer""","phone:""+260977234588""","email:""nampungwe.kabinga@cgh.gov.zm""}]",7,
